,url,size,new,idx
3266,http://a02.korrelate.net/a/e/d2a.ads?r=,1059,0.0,3266.0
6131,http://advertising.aol.com/,57045,0.0,6131.0
8518,http://advertising.aol.com/data/servers/d7/www,32926,0.0,8518.0
487,http://advertising.aol.com/properties,229105,0.0,487.0
8689,http://advertising.aol.com/us.aolad,32890,0.0,8689.0
2721,http://ar.voicefive.com/bmx3/node.pli?pub=aol2,47702,0.0,2721.0
2994,http://archive.northjersey.com/,80798,0.0,2994.0
16968,http://archive.northjersey.com/about-us/in-the-news,83210,2.0,2886.0
14637,http://archive.northjersey.com/about-us/north-jersey-media-group-content-usage-policy-1.177141,103756,2.0,555.0
14514,http://archive.northjersey.com/about-us/north-jersey-media-group-green-statement-1.177165,88076,2.0,432.0
14658,http://archive.northjersey.com/about-us/northjersey-com-terms-of-service-and-privacy-policy-1.177154,195781,2.0,576.0
123250,http://archive.northjersey.com/alerts,62189,7.0,925.0
10637,http://archive.northjersey.com/cm/2.1593/news/ems-responses-delayed-by-gwb-lane-closures-in-what-fort-lee-mayor-calls-absolute-power-corruption-1.667347,1037,0.0,10637.0
10480,http://archive.northjersey.com/cm/2.1593/news/u-s-sen-rockefeller-no-evidence-of-a-legitimate-traffic-study-in-port-authority-response-on-gwb-scandal-1.692566,1049,0.0,10480.0
14499,http://archive.northjersey.com/events,44002,2.0,417.0
14634,http://archive.northjersey.com/help,90631,2.0,552.0
14510,http://archive.northjersey.com/help/about-north-jersey-media-group,88834,2.0,428.0
14506,http://archive.northjersey.com/help/contact-northjersey-com,80026,2.0,424.0
14517,http://archive.northjersey.com/help/contact-the-record,95172,2.0,435.0
14523,http://archive.northjersey.com/help/online-special-sections-and-magazines,78591,2.0,441.0
14528,http://archive.northjersey.com/help/place-an-ad-online,68928,2.0,446.0
14509,http://archive.northjersey.com/help/police-blotter-policy,67967,2.0,427.0
14504,http://archive.northjersey.com/help/start-a-subscription,75547,2.0,422.0
3090,http://archive.northjersey.com/misc-pages/404,62239,0.0,3090.0
10921,http://archive.northjersey.com/misc-pages/search/njmg-search-7.156839,46928,0.0,10921.0
16559,http://archive.northjersey.com/news,84051,2.0,2477.0
123656,http://archive.northjersey.com/news/a-nod-to-watergate-in-gwb-case-as-defense-demands-christie-s-phone-1.1615718,125973,7.0,1331.0
14282,http://archive.northjersey.com/news/air-route-at-center-of-port-authority-probe-was-one-of-nation-s-loneliest-1.1275801,130196,2.0,200.0
13913,http://archive.northjersey.com/news/analysis-answers-on-gwb-lane-closures-have-subtle-shades-1.647357,132315,1.0,419.0
123721,http://archive.northjersey.com/news/analysis-christie-polishes-his-record-for-new-hampshire-voters-1.1343487,128822,7.0,1396.0
